,Country,Cause of Death,Date
0,Afghanistan,Terrorist Action,10/25/2003
1,Afghanistan,Terrorist Action,10/25/2003
2,Afghanistan,Terrorist Action,08/29/2004
3,Afghanistan,Terrorist Action,08/29/2004
4,Afghanistan,Terrorist Action,08/29/2004
5,Afghanistan,Terrorist Action,10/23/2004
6,Afghanistan,Air Accident,11/27/2004
7,Afghanistan,Air Accident,11/27/2004
8,Afghanistan,Air Accident,11/27/2004
9,Afghanistan,Air Accident,11/27/2004
10,Afghanistan,Air Accident,02/03/2005
11,Afghanistan,Air Accident,02/03/2005
12,Afghanistan,Air Accident,02/03/2005
13,Afghanistan,Air Accident,02/03/2005
14,Afghanistan,Air Accident,02/03/2005
15,Afghanistan,Air Accident,02/03/2005
16,Afghanistan,Air Accident,04/06/2005
17,Afghanistan,Air Accident,04/06/2005
18,Afghanistan,Air Accident,04/06/2005
19,Afghanistan,Veh.Accident,04/23/2005
20,Afghanistan,Terrorist Action,06/01/2005
21,Afghanistan,Suicide,06/25/2005
22,Afghanistan,Terrorist Action,08/13/2008
23,Afghanistan,Drug-Related,06/13/2009
24,Afghanistan,Veh.Accident,07/04/2009
25,Afghanistan,Air Accident,05/17/2010
26,Afghanistan,Terrorist Action,05/19/2010
27,Afghanistan,Terrorist Action,06/07/2010
28,Afghanistan,Suicide,06/17/2010
29,Afghanistan,Terrorist Action,07/10/2010
30,Afghanistan,Homicide,07/20/2010
31,Afghanistan,Homicide,07/20/2010
32,Afghanistan,Terrorist Action,07/29/2010
33,Afghanistan,Terrorist Action,08/05/2010
34,Afghanistan,Terrorist Action,08/05/2010
35,Afghanistan,Terrorist Action,08/05/2010
36,Afghanistan,Terrorist Action,08/05/2010
37,Afghanistan,Terrorist Action,08/05/2010
38,Afghanistan,Terrorist Action,08/05/2010
39,Afghanistan,Terrorist Action,09/06/2010
40,Afghanistan,Terrorist Action,09/06/2010
41,Afghanistan,Terrorist Action,09/06/2010
42,Afghanistan,Terrorist Action,09/06/2010
43,Afghanistan,Terrorist Action,09/07/2010
44,Afghanistan,Terrorist Action,02/07/2011
45,Afghanistan,Terrorist Action,04/27/2011
46,Afghanistan,Terrorist Action,04/28/2011
47,Afghanistan,Terrorist Action,06/04/2011
48,Afghanistan,Homicide,07/09/2011
49,Afghanistan,Terrorist Action,07/27/2011
50,Afghanistan,Veh.Accident,07/30/2011
51,Afghanistan,Terrorist Action,09/05/2011
52,Afghanistan,Homicide,09/25/2011
53,Afghanistan,Terrorist Action,10/29/2011
54,Afghanistan,Terrorist Action,10/29/2011
55,Afghanistan,Terrorist Action,10/29/2011
56,Afghanistan,Terrorist Action,10/29/2011
57,Afghanistan,Terrorist Action,10/29/2011
58,Afghanistan,Terrorist Action,10/29/2011
59,Afghanistan,Terrorist Action,10/29/2011
60,Afghanistan,Terrorist Action,12/06/2011
61,Afghanistan,Terrorist Action,12/11/2011
62,Afghanistan,Air Accident,01/16/2012
63,Afghanistan,Air Accident,01/16/2012
64,Afghanistan,Air Accident,01/16/2012
65,Afghanistan,Terrorist Action,04/16/2012
66,Afghanistan,Suicide,04/18/2012
67,Afghanistan,Terrorist Action,05/05/2012
68,Afghanistan,Terrorist Action,06/01/2012
69,Afghanistan,Terrorist Action,06/19/2012
70,Afghanistan,Terrorist Action,07/22/2012
71,Afghanistan,Terrorist Action,07/22/2012
72,Afghanistan,Homicide,07/23/2012
73,Afghanistan,Terrorist Action,08/07/2012
74,Afghanistan,Homicide,08/08/2012
75,Afghanistan,Terrorist Action,08/08/2012
76,Afghanistan,Terrorist Action,09/29/2012
77,Afghanistan,Homicide,10/13/2012
78,Afghanistan,Terrorist Action,12/24/2012
79,Afghanistan,Terrorist Action,03/08/2013
80,Afghanistan,Terrorist Action,04/06/2013
81,Afghanistan,Terrorist Action,04/06/2013
82,Afghanistan,Air Accident,04/29/2013
83,Afghanistan,Air Accident,04/29/2013
84,Afghanistan,Air Accident,04/29/2013
85,Afghanistan,Air Accident,04/29/2013
86,Afghanistan,Air Accident,04/29/2013
87,Afghanistan,Air Accident,04/29/2013
88,Afghanistan,Air Accident,04/29/2013
89,Afghanistan,Terrorist Action,05/16/2013
90,Afghanistan,Terrorist Action,05/16/2013
91,Afghanistan,Terrorist Action,05/16/2013
92,Afghanistan,Terrorist Action,05/16/2013
93,Afghanistan,Veh.Accident,05/18/2013
94,Afghanistan,Terrorist Action,06/08/2013
95,Afghanistan,Terrorist Action,07/02/2013
96,Afghanistan,Other Accident,07/28/2013
97,Afghanistan,Suicide,08/14/2013
98,Afghanistan,Terrorist Action,08/21/2013
99,Afghanistan,Terrorist Action,11/29/2013
100,Afghanistan,Terrorist Action,11/29/2013
101,Afghanistan,Homicide,12/26/2013
102,Australia,Drowning,10/08/2002
103,Australia,Drowning,11/05/2002
104,Australia,Veh.Accident,11/12/2002
105,Australia,Drowning,12/09/2002
106,Australia,Veh.Accident,01/01/2003
107,Australia,Veh.Accident,03/21/2003
108,Australia,Drug-Related,05/10/2003
109,Australia,Drowning,05/31/2003
110,Australia,Drowning,06/12/2003
111,Australia,Drowning,06/15/2003
112,Australia,Veh.Accident,07/17/2003
113,Australia,Drug-Related,07/25/2003
114,Australia,Drowning,07/26/2003
115,Australia,Veh.Accident,08/13/2003
116,Australia,Suicide,09/27/2003
117,Australia,Veh.Accident,10/12/2003
118,Australia,Veh.Accident,10/17/2003
119,Australia,Drowning,10/22/2003
120,Australia,Veh.Accident,11/03/2003
121,Australia,Veh.Accident,11/03/2003
122,Australia,Veh.Accident,11/07/2003
123,Australia,Veh.Accident,11/07/2003
124,Australia,Drug-Related,12/11/2003
125,Australia,Veh.Accident,12/27/2003
126,Australia,Suicide,01/13/2004
127,Australia,Suicide,01/17/2004
128,Australia,Suicide,01/20/2004
129,Australia,Suicide,02/07/2004
130,Australia,Veh.Accident,02/14/2004
131,Australia,Drug-Related,03/05/2004
132,Australia,Other Accident,05/08/2004
133,Australia,Homicide,06/13/2004
134,Australia,Drowning,06/16/2004
135,Australia,Veh.Accident,06/16/2004
136,Australia,Suicide,06/28/2004
137,Australia,Veh.Accident,09/02/2004
138,Australia,Drowning,09/11/2004
139,Australia,Suicide,09/25/2004
140,Australia,Veh.Accident,11/12/2004
141,Australia,Other Accident,11/14/2004
142,Australia,Drowning,11/24/2004
143,Australia,Veh.Accident,12/01/2004
144,Australia,Drug-Related,12/03/2004
145,Australia,Suicide,12/10/2004
146,Australia,Suicide,02/15/2005
147,Australia,Veh.Accident,03/16/2005
148,Australia,Veh.Accident,04/10/2005
149,Australia,Veh.Accident,04/12/2005
150,Australia,Veh.Accident,06/27/2005
151,Australia,Veh.Accident,06/27/2005
152,Australia,Veh.Accident,06/27/2005
153,Australia,Suicide,07/05/2005
154,Australia,Suicide,09/11/2005
155,Australia,Other Accident,10/30/2005
156,Australia,Veh.Accident,01/13/2006
157,Australia,Maritime Accident,02/20/2006
158,Australia,Drowning,03/03/2006
159,Australia,Suicide,09/19/2006
160,Australia,Veh.Accident,09/29/2006
161,Australia,Other Accident,10/23/2006
162,Australia,Homicide,02/09/2007
163,Australia,Suicide,02/18/2007
164,Australia,Veh.Accident,02/18/2007
165,Australia,Veh.Accident,02/19/2007
